,carat,cut,color,clarity,depth,table,price,x,y,z
51402,0.56,Ideal,D,VS1,61.6,57.0,2369,5.33,5.29,3.27
20971,1.53,Very Good,I,SI1,63.0,58.0,9183,7.24,7.32,4.59
41013,0.44,Ideal,H,IF,61.5,56.0,1185,4.89,4.93,3.02
16891,1.2,Premium,E,SI1,62.5,56.0,6742,6.75,6.71,4.21
38760,0.51,Ideal,F,SI2,62.7,57.0,1046,5.08,5.1,3.19
11787,1.04,Premium,G,SI1,61.4,57.0,5086,6.56,6.5,4.01
5800,0.95,Premium,E,SI2,58.9,61.0,3907,6.45,6.41,3.79
3344,1.03,Premium,J,SI2,62.0,58.0,3378,6.47,6.52,4.03
35993,0.42,Ideal,G,VS1,61.8,57.0,921,4.79,4.82,2.97
4984,1.01,Ideal,G,SI2,61.5,57.0,3739,6.42,6.46,3.96
48493,0.66,Ideal,D,VS2,61.8,56.0,1981,5.6,5.57,3.45
24779,2.13,Premium,J,SI2,62.6,58.0,13148,8.21,8.18,5.13
42905,0.5,Good,H,VVS2,61.9,64.3,1362,5.01,5.03,3.11
2899,0.92,Premium,F,SI2,58.9,59.0,3282,6.38,6.35,3.75
36047,0.31,Ideal,E,VVS1,61.8,56.0,924,4.34,4.36,2.69
34669,0.31,Ideal,E,VS2,62.6,56.0,872,4.33,4.3,2.7
42187,0.5,Good,G,SI1,62.5,64.0,1286,4.99,4.93,3.1
42475,0.51,Very Good,E,SI1,62.2,55.0,1318,5.09,5.11,3.17
3741,0.3,Premium,E,VS2,61.7,60.0,570,4.28,4.31,2.65
49120,0.7,Good,H,SI1,63.4,61.0,2066,5.58,5.62,3.55
336,0.71,Premium,G,VS1,62.4,61.0,2803,5.7,5.65,3.54
23490,1.58,Premium,H,VS1,61.7,59.0,11491,7.48,7.42,4.6
45179,0.51,Ideal,E,VS2,61.8,57.0,1656,5.14,5.15,3.18
3143,0.71,Very Good,F,VVS2,63.6,56.0,3332,5.65,5.7,3.61
42918,0.53,Good,F,SI1,63.8,56.0,1363,5.16,5.13,3.28
30384,0.33,Ideal,G,VVS2,61.3,56.0,730,4.46,4.48,2.74
29061,0.4,Good,E,SI1,63.7,56.0,687,4.66,4.69,2.98
27695,0.4,Ideal,G,SI2,62.1,57.0,648,4.72,4.75,2.94
16060,1.01,Premium,F,VS2,59.2,60.0,6416,6.51,6.54,3.86
48690,0.71,Premium,H,SI1,61.0,58.0,2006,5.73,5.77,3.51
9656,1.01,Very Good,H,SI1,63.4,58.0,4642,6.38,6.34,4.03
28383,0.33,Premium,I,VS1,62.7,58.0,668,4.43,4.4,2.77
47313,0.23,Very Good,E,VVS2,59.4,59.0,530,4.03,4.08,2.41
36794,0.34,Ideal,E,VS2,62.4,56.0,956,4.49,4.45,2.79
25196,1.56,Ideal,G,VS2,62.3,53.0,13787,7.41,7.49,4.64
43542,0.52,Ideal,G,VS2,61.7,56.0,1428,5.15,5.19,3.19
22922,1.5,Premium,F,SI1,62.6,60.0,10962,7.27,7.18,4.52
106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69
9275,1.01,Very Good,D,SI2,59.7,58.0,4564,6.55,6.61,3.93
35832,0.44,Ideal,G,VS1,61.9,54.0,915,4.89,4.93,3.04
33516,0.33,Premium,E,VS2,62.0,60.0,829,4.46,4.41,2.75
18390,1.33,Premium,H,SI1,61.5,59.0,7472,7.06,7.03,4.33
6420,0.8,Ideal,F,VS2,60.9,57.0,4043,5.98,6.04,3.66
51225,0.7,Fair,G,SI1,61.7,66.0,2352,5.7,5.58,3.48
42849,0.41,Ideal,F,VVS1,62.3,55.0,1356,4.79,4.74,2.97
14771,1.06,Ideal,D,SI1,62.7,54.0,5946,6.52,6.55,4.1
40451,0.76,Fair,H,I1,64.5,57.0,1140,5.79,5.76,3.73
29972,0.32,Ideal,D,SI1,61.5,56.0,715,4.41,4.44,2.72
28471,0.32,Premium,H,VS1,61.6,59.0,672,4.39,4.37,2.7
36499,0.37,Premium,G,VS2,59.7,61.0,944,4.72,4.66,2.8
47792,0.7,Good,H,SI2,61.5,63.0,1899,5.59,5.63,3.45
18268,1.22,Ideal,H,VS1,62.3,55.0,7418,6.8,6.84,4.25
18416,1.02,Premium,F,VS1,62.0,59.0,7485,6.41,6.39,3.97
38929,0.36,Very Good,E,IF,59.5,57.0,1053,4.68,4.73,2.8
8907,0.9,Ideal,H,SI1,62.1,56.0,4492,6.14,6.19,3.83
27858,0.3,Ideal,F,VS1,61.9,55.1,652,4.31,4.34,2.68
35266,0.3,Ideal,G,IF,60.9,57.0,895,4.29,4.32,2.62
25131,1.51,Very Good,G,VS1,62.5,58.0,13686,7.23,7.27,4.53
46622,0.3,Ideal,H,VS1,61.6,55.0,526,4.27,4.3,2.64
41729,0.41,Ideal,E,VVS2,61.4,56.0,1243,4.81,4.77,2.94
19771,1.04,Ideal,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
53195,0.7,Ideal,G,VS2,60.0,57.0,2633,5.8,5.84,3.49
35821,0.31,Ideal,F,IF,62.0,55.0,914,4.36,4.38,2.71
20452,1.1,Ideal,F,VS1,61.5,59.0,8796,6.63,6.58,4.06
25564,1.62,Very Good,F,VS2,63.2,56.0,14400,7.54,7.43,4.73
7515,1.01,Good,H,SI1,60.6,61.0,4242,6.35,6.39,3.86
52859,0.76,Ideal,H,SI1,62.0,56.0,2578,5.89,5.85,3.64
27722,2.01,Ideal,G,SI1,62.1,57.0,18736,8.07,8.09,5.02
38597,0.38,Ideal,E,VS2,61.7,54.0,1038,4.66,4.68,2.88
30405,0.32,Ideal,H,VVS1,62.2,56.0,730,4.37,4.38,2.72
44679,0.53,Very Good,F,VS2,60.5,55.0,1610,5.24,5.29,3.19
43884,0.54,Ideal,H,VS2,61.6,55.0,1453,5.23,5.25,3.23
48859,0.59,Very Good,F,VS1,61.7,59.0,2034,5.35,5.38,3.31
40784,0.4,Ideal,F,VVS1,61.4,56.0,1168,4.77,4.81,2.94
45030,0.54,Ideal,E,SI1,61.5,57.0,1637,5.25,5.22,3.22
43468,0.46,Ideal,F,VS1,62.7,56.0,1418,4.91,4.94,3.09
4767,0.71,Good,D,VS1,64.2,58.0,3690,5.65,5.6,3.61
6301,0.9,Premium,G,VS2,61.0,58.0,4022,6.2,6.13,3.76
4417,1.01,Good,E,SI2,63.9,58.0,3611,6.37,6.31,4.05
52833,0.7,Premium,F,VS2,62.0,56.0,2573,5.72,5.67,3.53
39395,0.41,Premium,G,VVS2,61.6,56.0,1076,4.78,4.76,2.94
47759,0.53,Ideal,G,VVS2,62.1,54.0,1893,5.18,5.22,3.23
3437,0.9,Premium,H,SI1,61.0,59.0,3387,6.16,6.11,3.74
46934,0.52,Ideal,E,VS2,60.9,57.0,1815,5.23,5.21,3.18
41690,0.55,Ideal,G,SI2,62.1,57.0,1240,5.3,5.23,3.27
51240,0.74,Very Good,I,VS1,63.4,57.0,2353,5.81,5.76,3.67
10236,1.03,Very Good,G,SI1,61.0,58.0,4746,6.5,6.54,3.98
26112,1.7,Good,E,VS2,64.1,60.0,15385,7.43,7.52,4.79
33308,0.41,Good,F,VS1,64.4,57.0,827,4.67,4.71,3.02
8499,1.07,Ideal,J,SI1,62.4,56.0,4422,6.52,6.56,4.08
21506,1.54,Ideal,I,VS2,60.2,59.0,9600,7.52,7.57,4.54
20139,1.2,Premium,G,VS1,60.2,60.0,8596,7.0,6.91,4.19
24520,1.56,Ideal,G,VS2,62.2,54.0,12800,0.0,0.0,0.0
6153,0.93,Ideal,D,SI2,62.5,55.0,3990,6.2,6.24,3.89
37384,0.4,Ideal,D,VS2,60.4,56.0,982,4.73,4.77,2.87
10744,1.0,Good,F,SI1,63.6,58.0,4851,6.27,6.31,4.0
29730,0.31,Ideal,H,VVS1,61.8,57.0,707,4.32,4.35,2.68
40557,0.41,Ideal,G,VVS1,62.0,56.0,1151,4.78,4.8,2.97
25555,1.5,Premium,E,VS2,62.1,60.0,14386,7.31,7.27,4.53
31537,0.3,Ideal,E,VVS2,61.9,59.0,766,4.27,4.3,2.65
962,0.71,Ideal,E,VS2,61.6,56.0,2891,5.74,5.76,3.54
43486,0.55,Ideal,G,SI1,60.9,56.0,1421,5.3,5.32,3.24
11711,0.4,Very Good,J,VS2,60.9,62.0,596,4.73,4.76,2.89
51203,0.7,Good,H,VS2,64.2,58.0,2351,5.61,5.58,3.59
51091,0.73,Ideal,I,VS2,62.2,54.0,2335,5.76,5.78,3.59
15148,1.01,Good,F,VS2,62.5,62.0,6089,6.32,6.38,3.97
45973,0.3,Premium,E,SI1,62.5,60.0,526,4.24,4.27,2.66
842,0.79,Premium,E,SI2,61.0,58.0,2868,5.96,5.9,3.62
11314,1.23,Ideal,J,VS2,61.8,56.0,4986,6.87,6.81,4.23
27927,0.38,Premium,E,SI1,58.1,58.0,658,4.85,4.79,2.8
28285,0.33,Ideal,J,SI2,62.4,54.0,366,4.43,4.45,2.77
8124,0.9,Good,E,VS1,64.8,54.0,4353,6.12,6.07,3.95
18751,1.01,Premium,G,VVS2,60.5,60.0,7665,6.58,6.51,3.96
5536,0.91,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
49764,0.53,Ideal,F,VVS2,60.8,56.0,2160,5.22,5.24,3.18
31286,0.36,Ideal,F,SI2,62.2,55.0,450,4.57,4.59,2.85
24182,2.01,Premium,J,SI1,60.5,59.0,12369,8.12,8.01,4.88
27427,2.11,Premium,E,SI2,62.4,61.0,18034,8.19,8.1,5.08
23351,0.3,Ideal,I,SI1,61.9,57.0,422,4.28,4.31,2.66
15310,1.03,Premium,G,VS2,62.1,57.0,6146,6.48,6.41,4.0
12085,1.0,Fair,G,VS2,64.5,58.0,5161,6.26,6.2,4.02
3638,0.91,Very Good,G,SI2,60.4,61.0,3435,6.21,6.28,3.77
6898,0.73,Ideal,D,VS2,60.7,57.0,4134,5.84,5.88,3.55
4708,0.9,Ideal,F,SI2,62.3,57.0,3679,6.19,6.17,3.85
10759,1.01,Good,E,SI1,60.9,64.0,4853,6.29,6.22,3.81
8510,1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
48232,0.58,Premium,E,SI1,60.6,56.0,1949,5.42,5.38,3.27
43395,0.5,Ideal,E,SI1,61.6,55.0,1410,5.09,5.13,3.15
1270,1.0,Fair,E,SI2,65.8,58.0,2948,6.28,6.16,4.09
7468,1.2,Premium,I,SI2,59.0,60.0,4234,6.99,6.95,4.11
439,0.9,Fair,J,VS2,65.0,56.0,2815,6.08,6.04,3.94
2337,0.74,Ideal,F,VS1,61.7,56.0,3170,5.83,5.78,3.58
6691,0.31,Very Good,I,SI1,60.7,60.0,408,4.33,4.37,2.64
21217,1.23,Premium,E,VS2,58.9,59.0,9361,7.05,6.98,4.13
37412,0.38,Premium,G,VS2,59.3,59.0,983,4.74,4.71,2.8
52036,0.71,Very Good,E,VS2,63.4,61.0,2450,5.6,5.57,3.54
38742,0.35,Premium,E,VVS1,60.7,59.0,1044,4.55,4.58,2.77
42358,0.5,Very Good,H,VS2,62.3,58.0,1302,5.05,5.12,3.17
1626,0.84,Very Good,G,SI2,62.8,57.0,3015,6.0,6.04,3.78
19529,1.01,Premium,G,VVS2,61.2,58.0,8163,6.49,6.45,3.96
27692,0.41,Ideal,J,VS1,62.4,55.0,648,4.75,4.77,2.97
24801,2.03,Ideal,I,SI2,60.0,57.0,13182,8.32,8.2,4.96
51417,0.62,Ideal,F,VS1,61.2,54.0,2371,5.55,5.52,3.39
36814,0.3,Very Good,G,IF,63.5,55.0,956,4.28,4.26,2.71
20391,0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.35,2.69
8573,1.0,Very Good,E,SI1,63.1,58.0,4435,6.34,6.2,3.95
45852,0.56,Ideal,H,VS1,61.1,57.0,1715,5.31,5.34,3.25
9256,0.97,Premium,F,SI1,62.7,59.0,4561,6.28,6.31,3.95
38114,0.3,Ideal,H,IF,60.8,56.0,1013,4.37,4.35,2.65
50213,0.72,Good,F,SI1,63.9,62.0,2229,5.7,5.63,3.62
38002,0.43,Premium,G,VS1,62.2,59.0,1008,4.84,4.81,3.0
38442,0.45,Fair,G,VS1,66.3,56.0,1027,4.82,4.65,3.14
21615,1.71,Very Good,J,VS1,61.2,59.0,9707,7.65,7.72,4.7
49559,0.78,Very Good,I,SI2,60.6,60.0,2130,5.91,5.93,3.59
38418,0.39,Ideal,E,VS1,62.3,57.0,1026,4.64,4.67,2.9
12106,1.01,Ideal,H,VS2,62.7,56.0,5166,6.35,6.4,4.0
42827,0.51,Ideal,E,SI1,60.9,54.0,1355,5.17,5.21,3.16
42639,0.5,Ideal,D,SI2,61.6,57.0,1332,5.13,5.1,3.15
30554,0.31,Ideal,D,VS2,62.3,55.0,734,4.33,4.37,2.71
29226,0.31,Fair,G,VS1,64.6,55.0,695,4.31,4.26,2.77
13463,1.04,Ideal,E,SI1,62.4,57.0,5528,6.48,6.53,4.06
26660,1.0,Ideal,D,IF,60.7,57.0,16469,6.44,6.48,3.92
51313,0.31,Premium,H,VS1,59.9,59.0,544,4.38,4.4,2.63
28319,0.24,Very Good,H,VVS2,60.7,58.0,432,4.04,4.07,2.46
29089,0.34,Good,H,VS2,63.7,57.0,689,4.44,4.42,2.82
16923,1.16,Ideal,E,SI1,61.9,55.0,6755,6.74,6.79,4.19
29573,0.41,Good,F,SI1,63.7,58.0,705,4.71,4.74,3.01
53863,1.0,Fair,I,SI2,66.8,56.0,2743,6.22,6.12,4.13
23725,0.25,Very Good,E,VVS1,62.3,55.0,633,4.04,4.06,2.52
15850,1.35,Premium,I,SI1,62.1,58.0,6340,7.07,7.0,4.37
10644,1.03,Very Good,H,SI1,60.8,60.0,4836,6.47,6.5,3.94
50563,0.79,Ideal,I,SI2,62.1,56.0,2277,5.92,5.97,3.69
49983,0.6,Ideal,G,VVS2,61.2,56.0,2190,5.43,5.45,3.33
47458,0.53,Premium,D,VS2,61.5,58.0,1857,5.2,5.24,3.21
46322,0.59,Very Good,H,VS1,62.1,55.0,1757,5.37,5.41,3.35
4743,1.01,Very Good,G,SI2,62.0,58.0,3682,6.41,6.46,3.99
51615,0.71,Very Good,H,VS2,62.6,59.0,2395,5.66,5.68,3.55
53288,0.3,Very Good,D,SI1,61.0,60.0,552,4.3,4.35,2.64
14000,1.19,Premium,H,SI1,62.7,61.0,5698,6.73,6.66,4.2
21883,1.5,Premium,G,SI1,62.9,56.0,9954,7.34,7.22,4.58
47940,0.38,Ideal,D,VVS1,60.3,56.0,1915,4.74,4.72,2.85
25772,2.18,Very Good,I,SI2,61.4,59.5,14735,8.31,8.37,5.12
45549,0.51,Ideal,D,SI1,61.6,56.0,1687,5.12,5.1,3.15
6416,0.71,Ideal,E,VVS2,62.0,53.9,4042,5.73,5.77,3.57
48657,0.34,Premium,H,VS2,60.2,60.0,537,4.51,4.56,2.73
9380,0.36,Premium,G,VS2,62.5,58.0,589,4.51,4.55,2.83
21445,1.5,Very Good,E,SI2,62.1,59.0,9548,7.26,7.33,4.53
32692,0.31,Good,G,VS1,63.7,56.0,802,4.3,4.27,2.73
53213,0.7,Ideal,F,SI1,61.8,54.0,2635,5.71,5.75,3.54
46164,0.5,Ideal,E,VS2,62.2,54.0,1746,5.11,5.08,3.17
31908,0.3,Ideal,G,VS1,61.5,56.0,776,4.34,4.28,2.65
39284,0.3,Ideal,H,VS2,62.1,57.0,491,4.27,4.3,2.66
13177,1.37,Good,I,VS2,64.1,58.0,5449,6.92,6.9,4.43
28030,0.3,Ideal,E,VS2,62.1,55.0,658,4.3,4.33,2.68
24308,2.0,Fair,H,SI2,65.9,58.0,12554,7.84,7.8,5.15
45396,0.51,Very Good,H,VVS1,60.9,56.0,1668,5.17,5.22,3.16
17199,1.21,Very Good,H,VS1,63.3,58.0,6871,6.77,6.72,4.27
22668,1.53,Premium,D,SI1,61.6,58.0,10712,7.35,7.42,4.55
9188,0.93,Ideal,G,SI1,62.0,56.0,4546,6.22,6.26,3.87
41543,0.52,Premium,G,SI2,61.4,56.0,1235,5.27,5.18,3.2
32943,0.34,Premium,I,SI1,60.0,58.0,459,4.51,4.55,2.72
33279,0.23,Good,E,VVS1,62.8,62.0,462,3.9,3.93,2.46
7662,0.81,Ideal,F,VS1,61.8,55.0,4270,5.97,6.03,3.71
24603,1.75,Good,D,SI1,63.8,57.0,12918,7.63,7.53,4.84
26182,2.01,Premium,I,SI1,62.4,61.0,15528,8.01,7.99,4.99
21948,1.5,Very Good,G,SI1,62.1,58.0,10019,7.26,7.3,4.52
46005,0.61,Very Good,E,SI1,63.3,60.0,1726,5.36,5.29,3.37
2002,0.74,Ideal,F,VVS2,61.5,54.0,3101,5.84,5.86,3.6
21720,2.06,Very Good,F,I1,58.7,61.0,9789,8.31,8.33,4.88
13773,0.93,Very Good,E,VS2,61.4,58.0,5616,6.22,6.29,3.84
3717,0.91,Premium,H,SI2,60.9,61.0,3453,6.24,6.18,3.78
2798,0.76,Very Good,E,SI1,60.4,58.0,3261,5.91,5.97,3.59
21225,1.28,Ideal,G,VS1,62.7,53.0,9372,6.94,6.97,4.36
41156,0.48,Good,G,VS1,58.6,62.0,1199,5.14,5.2,3.03
51588,0.73,Premium,F,SI2,58.3,58.0,2393,5.95,5.91,3.46
19223,1.01,Premium,G,VVS2,61.9,59.0,7964,6.45,6.41,3.98
22336,1.02,Ideal,E,VVS2,61.5,57.0,10384,6.55,6.5,4.01
19855,1.18,Ideal,G,VS1,61.3,56.0,8414,6.81,6.83,4.17
8220,1.06,Very Good,H,SI2,62.8,57.0,4372,6.49,6.57,4.1
29933,0.34,Premium,G,VS2,59.6,62.0,714,4.56,4.54,2.71
26223,2.18,Ideal,I,SI1,61.2,56.0,15646,8.39,8.51,5.17
15688,1.04,Ideal,G,VS2,61.4,57.0,6290,6.53,6.5,4.0
31894,0.3,Premium,G,VS1,60.0,60.0,776,4.33,4.3,2.59
14087,1.27,Very Good,H,SI2,60.6,59.0,5715,6.97,7.0,4.23
23047,1.63,Ideal,H,SI1,61.9,57.0,11078,7.59,7.53,4.68
16570,1.01,Premium,G,VS1,60.2,59.0,6618,6.58,6.51,3.94
19970,1.5,Good,D,SI2,63.8,58.0,8518,7.2,7.16,4.58
23500,2.0,Very Good,J,SI2,62.8,57.0,11510,8.02,8.05,5.04
11855,1.07,Ideal,I,VS1,62.2,58.0,5103,6.52,6.57,4.07
52154,0.7,Very Good,G,VS1,63.2,58.0,2473,5.61,5.65,3.56
4511,1.06,Fair,G,SI2,65.3,62.0,3633,6.33,6.25,4.11
5103,0.94,Premium,E,SI2,60.4,59.0,3758,6.37,6.34,3.84
42580,0.53,Ideal,G,SI1,62.4,55.0,1329,5.21,5.18,3.24
1410,0.75,Very Good,E,SI1,60.2,60.0,2968,5.89,5.93,3.56
4614,0.7,Ideal,F,VS1,61.2,56.0,3662,5.73,5.76,3.52
1210,0.71,Very Good,H,VVS1,62.7,59.0,2938,5.65,5.67,3.55
10858,1.03,Premium,H,VS1,59.2,58.0,4874,6.66,6.61,3.92
6376,0.25,Very Good,F,VVS1,60.7,59.0,576,4.07,4.1,2.48
43687,0.5,Good,F,VS2,63.3,58.0,1436,4.98,5.03,3.17
33552,0.3,Ideal,G,IF,62.3,52.8,830,4.29,4.33,2.69
13402,0.32,Premium,H,VVS2,62.2,58.0,602,4.33,4.38,2.71
29788,0.3,Premium,D,SI1,60.6,60.0,709,4.32,4.3,2.61
31818,0.3,Ideal,E,VS1,62.2,54.0,775,4.28,4.3,2.67
38528,0.34,Ideal,E,VS1,61.2,57.0,1033,4.5,4.45,2.74
9416,1.01,Very Good,G,SI1,62.9,54.0,4588,6.41,6.47,4.05
5515,1.08,Ideal,I,SI2,61.9,55.0,3849,6.58,6.61,4.08
18431,1.5,Good,H,SI2,63.6,58.0,7495,7.15,7.2,4.56
17341,1.0,Good,E,VS2,58.2,60.0,6958,6.52,6.54,3.8
4795,1.2,Fair,H,SI2,65.6,57.0,3696,6.73,6.57,4.36
29454,0.4,Premium,I,SI2,60.5,58.0,702,4.82,4.76,2.9
43776,0.63,Good,I,VS2,56.1,65.0,1440,5.73,5.78,3.23
939,0.9,Fair,D,SI2,66.9,57.0,2885,6.02,5.9,3.99
32181,0.39,Premium,G,VS2,62.3,59.0,787,4.65,4.69,2.91
18387,0.29,Very Good,E,VS1,60.0,57.0,619,4.33,4.34,2.6
49554,0.91,Fair,I,SI2,65.0,58.0,2129,6.05,6.02,3.92
41920,0.45,Good,F,VS1,60.1,61.8,1262,4.96,4.98,2.99
35589,0.4,Ideal,E,SI1,62.5,57.0,907,4.74,4.7,2.95
12894,1.01,Ideal,E,SI1,62.1,57.0,5372,6.4,6.45,3.99
43194,0.56,Ideal,F,SI1,60.1,58.0,1394,5.36,5.39,3.23
11448,1.01,Premium,G,SI1,61.3,59.0,5006,6.48,6.44,3.96
6621,1.12,Premium,G,SI2,61.2,58.0,4084,6.67,6.69,4.09
2069,0.32,Premium,E,SI1,61.9,59.0,561,4.36,4.39,2.71
22800,1.52,Premium,I,VVS2,61.6,58.0,10824,7.37,7.41,4.55
16418,1.17,Ideal,H,VS2,62.4,58.0,6558,6.73,6.71,4.19
14722,0.3,Premium,H,VVS2,62.0,58.0,605,4.3,4.35,2.68
49476,0.72,Premium,G,SI2,62.6,60.0,2115,5.7,5.65,3.55
25731,1.51,Good,G,IF,62.8,60.0,14654,7.18,7.24,4.53
19379,0.4,Good,D,SI2,63.9,53.0,622,4.68,4.71,3.0
5750,1.01,Good,G,SI2,64.5,61.0,3895,6.24,6.31,4.05
28867,0.32,Premium,F,SI1,62.3,55.0,684,4.44,4.39,2.75
24409,1.32,Fair,F,VVS1,58.0,66.0,12648,7.31,7.28,4.23
13460,1.01,Ideal,F,SI1,62.0,54.0,5527,6.41,6.49,4.0
38918,0.33,Ideal,G,IF,62.1,56.0,1052,4.44,4.41,2.75
29051,0.4,Very Good,F,SI1,62.1,57.0,687,4.65,4.69,2.9
372,0.73,Very Good,D,SI1,63.1,57.0,2808,5.74,5.7,3.61
36044,0.34,Ideal,D,VS2,62.1,55.0,923,4.49,4.46,2.78
1206,0.76,Premium,E,SI1,58.3,62.0,2937,6.12,5.95,3.52
14705,0.3,Ideal,G,VS1,61.8,55.0,605,4.31,4.33,2.67
43696,0.5,Good,D,SI1,63.6,54.0,1436,5.02,5.08,3.21
21765,1.08,Ideal,G,IF,62.3,56.0,9831,6.55,6.59,4.09
33476,0.32,Ideal,F,VS2,61.5,55.0,828,4.42,4.4,2.71
44385,0.41,Ideal,D,VVS1,62.3,55.0,1582,4.78,4.75,2.97
30278,0.3,Very Good,D,SI2,61.4,59.0,447,4.26,4.31,2.63
25119,1.71,Premium,G,SI1,60.6,58.0,13666,7.79,7.75,4.71
40359,0.43,Ideal,D,VS2,60.7,57.0,1129,4.91,4.88,2.97
34316,0.31,Very Good,F,VVS1,61.4,56.0,859,4.37,4.4,2.69
38179,0.41,Ideal,D,SI1,61.6,55.0,1015,4.8,4.78,2.95
5378,0.34,Premium,I,SI1,61.8,57.0,574,4.51,4.46,2.77
46683,0.7,Good,I,SI1,62.8,59.0,1790,5.59,5.65,3.53
37596,0.24,Very Good,E,VVS2,59.7,60.0,485,4.08,4.1,2.44
10666,0.9,Premium,F,VS2,62.3,58.0,4838,6.16,6.14,3.83
1741,0.76,Ideal,H,VS2,61.4,57.0,3038,5.85,5.88,3.6
21357,1.01,Ideal,E,VS1,61.5,56.0,9503,6.45,6.49,3.98
30635,0.3,Ideal,G,VVS1,60.9,56.8,735,4.34,4.38,2.65
1445,0.83,Ideal,H,VS2,61.3,54.0,2975,6.1,6.06,3.73
39403,0.41,Ideal,G,VVS2,62.5,55.0,1076,4.76,4.75,2.97
2558,0.79,Ideal,D,SI1,61.1,57.0,3209,5.94,6.0,3.65
17416,1.5,Premium,H,SI2,61.2,61.0,6979,7.34,7.27,4.47
40421,0.5,Fair,H,VS1,66.6,58.0,1134,4.95,4.84,3.26
41743,0.51,Very Good,F,SI1,63.4,58.0,1244,5.06,5.1,3.22
22409,1.34,Premium,F,VS2,61.1,58.0,10431,7.12,7.05,4.33
9713,0.38,Very Good,E,SI2,62.5,61.0,590,4.59,4.63,2.88
48772,0.72,Premium,E,SI2,61.6,59.0,2019,5.83,5.68,3.55
46404,0.53,Premium,F,VS1,59.4,58.0,1766,5.32,5.28,3.15
43354,0.63,Ideal,G,SI2,62.8,56.3,1407,5.34,5.54,3.42
21656,1.22,Ideal,F,VS1,61.5,56.0,9756,6.89,6.84,4.22
29941,0.29,Very Good,H,VS1,62.2,56.0,444,4.24,4.27,2.64
39401,0.41,Ideal,G,VVS2,62.2,56.0,1076,4.8,4.75,2.97
52927,0.57,Very Good,F,VVS1,61.9,56.0,2591,5.31,5.34,3.29
1525,0.7,Very Good,D,VS2,59.7,59.0,2999,5.82,5.78,3.46
41628,0.24,Ideal,H,IF,61.8,54.0,504,3.99,4.03,2.47
52773,0.75,Ideal,I,VS1,61.9,54.1,2564,5.82,5.85,3.61
24410,1.53,Very Good,G,VS1,62.8,56.0,12654,7.31,7.37,4.61
10884,1.21,Premium,I,SI2,60.7,60.0,4879,6.88,6.82,4.16
17863,1.5,Good,I,SI1,64.2,56.0,7207,7.25,7.14,4.62
25487,1.56,Premium,G,VS1,60.9,58.0,14268,7.53,7.49,4.57
21639,1.63,Good,I,SI1,63.7,58.0,9730,7.48,7.4,4.74
